Company,Job Role,Stipend,Location
Internshala,Reel Creation,"₹ 18,000 /month",Gurgaon
Inovize IT Solutions,Business Development (Sales),"₹ 8,000 /month +  Incentives",Noida
Lead Mines Media,Digital Marketing,"₹ 10,000 /month",Mumbai
Indika AI Private Limited,Business Development (Sales),"₹ 15,000-25,000 /month",Delhi
ADSMIT MEDIA,Finance,"₹ 5,000 /month +  Incentives",Work From Home
Acept One MediaWorks Private Limited,Business Development Executive (Female),"₹ 10,000-20,000 /month",Navi Mumbai
NayePankh Foundation,Social Entrepreneurship,20% of Total Amount Raised,Work From Home
Aam Aadmi Party,Social Media Coordination,Unpaid,Delhi
Team Everest,English Curriculum Writing,Unpaid,Work From Home
Eisneramper India,Finance & Accounting,"₹ 15,000 /month",Mumbai
Saathi Eco Innovations India Private Limited,Graphic Design,"₹ 3,000-5,000 /month",Ahmedabad
Saathi Eco Innovations India Private Limited,Content Writing,"₹ 3,000-5,000 /month",Ahmedabad
ThumbStack,Videography,"₹ 5,000-10,000 /month",Mumbai
Saathi Eco Innovations India Private Limited,Market Research,"₹ 3,000 /month",Ahmedabad
ThumbStack,Business Development (Sales),"₹ 5,000-10,000 /month",Mumbai
71 Tales Bar & Cafe,Marketing,"₹ 10,000 /month",Navi Mumbai
ChangeJar Technologies Private Limited,E-commerce Operations,"₹ 15,000 /month",Bangalore
VSRD Academic Publishing (A Division Of Visual Soft India Private Limited),Business Development (Sales),"₹ 2,000 /month +  Incentives",Work From Home
Kerkar Media,Operations,"₹ 5,000 /month",Mumbai
Honey Translation Services,Project Management,"₹ 5,000 /month",Chennai
STEMpedia,Graphic Design,"₹ 10,000 /month",Ahmedabad
Ayurveda House Private Limited,Social Media Content Creation,"₹ 8,000-10,000 /month",Delhi
Internshala Trainings,Student Counseling and Support,"₹ 18,000 /month",Gurgaon
Digi Grow Hub Education,Telecalling,"₹ 7,000 /month",Pune
Anandvan Greens,Executive Assistant,"₹ 10,000-20,000 /month",Delhi
FreeUp App,Fashion Catalogue,"₹ 15,000 /month",Bangalore
Indian Art Villa,Customer Service/Customer Support,"₹ 6,000-8,000 /month",Jaipur
Wander XO,Travel Consultant,"₹ 12,000 /month",Mumbai
Wander XO,Business Development (Sales),"₹ 10,000 /month +  Incentives",Mumbai
Wander XO,Visa Consulting,"₹ 10,000 /month",Navi Mumbai
Wander XO,Social Media Marketing,"₹ 10,000 /month +  Incentives",Mumbai
U ARE (Jeweltaire Lifestyle Private Limited),Graphic Design,"₹ 10,000-15,000 /month",Mumbai
U ARE (Jeweltaire Lifestyle Private Limited),Social Media Marketing,"₹ 10,000-15,000 /month",Mumbai
Antino Labs Private Limited,Flutter Development,"₹ 15,000 /month",Delhi
Chillitray Technologies,Python Development,"₹ 4,000-8,000 /month",Bangalore
CloudBird Digital Private Limited,Subject Matter Expert (SME),"₹ 8,000-9,000 /month",Noida
Smart Investors,Journalism,"₹ 20,000-40,000 /month",Gurgaon
The Modern Ape,Graphic Design,"₹ 8,000-10,000 /month",Mumbai
Uboard India Limited,Industrial And Production Engineering,"₹ 7,000-10,000 /month",Delhi
BookMyShow,Social Media Marketing,"₹ 7,500 /month",Mumbai
U ARE (Jeweltaire Lifestyle Private Limited),Data Entry,"₹ 10,000 /month",Mumbai
Honey Translation Services,Accounting,"₹ 5,000 /month",Chennai
PGMedia Overseas,Inside Sales,"₹ 5,000 /month +  Incentives",Bangalore
Lazy Gardener,E-Commerce Management,"₹ 8,500 /month",Delhi
Jasneet Kaur,Business Development (Sales),"₹ 10,000 /month",Delhi
Honey Translation Services,Human Resources (HR),"₹ 5,000 /month",Chennai
Weroute Systems Private Limited,Business Development (Sales),"₹ 10,000 /month",Delhi
Bilateral Solutions Private Limited,Embedded Electronics Engineering,"₹ 12,000 /month",Mandi
Scaler Academy,Content Marketing,"₹ 15,000 /month",Bangalore
One Root,Agriculture Procurement ( Karnataka Kannada),"₹ 15,000-20,000 /month",Gundlupete
One Root,Agriculture Procurement ( Karnataka Kannada),"₹ 15,000-20,000 /month",Gundlupete
Bilateral Solutions Private Limited,Business Development (Enterprise Automation),"₹ 15,000-20,000 /month",Mandi
Mojopanda Exim Private Limited,Research Assistancy (Psychology),"₹ 10,000 /month",Gurgaon
BookMyShow,Business Development (Live Entertainment),"₹ 7,500 /month",Mumbai
Mobavenue Media Private Limited,Content Writing,"₹ 8,000-10,000 /month",Mumbai
ORBOL Ad/Film Production Networks,Luxury Brand Management,"₹ 2,000 /month",Ahmedabad
Law Samadhan,Law/Legal,"₹ 2,000 /month",Jaipur
Zedex Info Private Limited,Digital Marketing,"₹ 12,000 /month",Mumbai
Agnihotri Securities Limited,Client Acquisition,"₹ 4,000-7,000 /month",Work From Home
BookMyShow,Ticketing (Sunburn),"₹ 7,500 /month",Mumbai
Xsoln,Influencer Marketing,"₹ 8,000 /month",Jaipur
SR Edu Technologies,Maths Training,"₹ 20,000-30,000 /month",Hyderabad
Careers360,Content Writing,"₹ 25,000 /month",Gurgaon
SR Edu Technologies,English Training,"₹ 20,000-30,000 /month",Hyderabad
Akrati Jewels Incorporation,Content Development (English),"₹ 10,000 /month",Jaipur
Trijotech Software Consulting Private Limited,Marketing,"₹ 15,000 /month +  Incentives",Noida
Gigde Global Solutions Private Limited,Campus Ambassador,Performance Based,Work From Home
SODE Counseling Services LLP,Digital Marketing,"₹ 10,000 /month",Noida
91homes,Interior Design,"₹ 5,000 /month",Delhi
ProtonX Media,Social Media Marketing,"₹ 11,000 /month",Delhi
Antino Labs Private Limited,UI/UX Design,"₹ 15,000 /month",Gurgaon
Akrati Jewels Incorporation,Content & E-Commerce Management,"₹ 10,000 /month",Jaipur
Fusion Beauty,Creative Content Writing,"₹ 10,000-15,000 /month",Delhi
Socio Genee,Database Building/Management,"₹ 10,000 /month",Delhi
NexGen Innovators IT Services Private Limited,Business Development (Sales),"₹ 5,000 /month",Delhi
Digital Ipsum,Content Writing,"₹ 4,000 /month",Work From Home
Friends Media,Content Writing,"₹ 3,000 /month",Delhi
The Affordable Organic Store,Microbiology,"₹ 3,000 /month",Secunderabad
Friends Media,Video Editing/Making,"₹ 8,000 /month",Delhi
Joining Hands 2 Heal LLP,Social Media Marketing,"₹ 8,000 /month",Mumbai
CloudBird Digital Private Limited,Human Resources (HR),"₹ 7,000 /month",Noida
Friends Media,Business Development (Sales),"₹ 15,000 /month",Delhi
NexGen Innovators IT Services Private Limited,Content Writing,"₹ 5,000 /month",Delhi
Urban Venue,Digital Marketing,"₹ 5,000-10,000 /month",Noida
Jasneet Kaur,Motion Graphics,"₹ 10,000 /month",Delhi
Stax Media,Digital Marketing,"₹ 10,000 /month",Delhi
Corpay India Pvt Ltd,Finance,"₹ 33,333 /month",Chennai
Grade Up Assignment,Subject Matter Expert (SME),"₹ 10,000-20,000 /month",Work From Home
Indika AI Private Limited,Video Editing/Making,"₹ 7,000-10,000 /month",Delhi
Jasneet Kaur,Video Editing/Making,"₹ 10,000 /month",Delhi
Clebstory,Content Writing,"₹ 4,000 /month",Work From Home
Digital Ipsum,Content Writing (Psychology),"₹ 4,000 /month",Work From Home
HOKO PRODUCTS LLP,Social Media Marketing,"₹ 5,000 /month",Chandigarh
NINE OUNCE AGROTECH LLP,Financial Data Analytics,"₹ 8,000 /month",Mumbai
Triumph System And Solutions Private Limited,Database Development,"₹ 15,000 /month",Mumbai
Bempu Health,Graphic Design & Digital Social Media Marketing,"₹ 15,000 /month",Bangalore
Times Internet,Editorial,"₹ 10,000 /month",Jaipur
CloudBird Digital Private Limited,Subject Matter Expert (SME),"₹ 8,000 /month",Work From Home
RightVu Ad Solutions,Graphic Design,"₹ 10,000 /month",Work From Home
Bilateral Solutions Private Limited,Fusion360 - SolidWorks Designer - Industrial Automation,"₹ 12,000 /month",Mandi
Jasneet Kaur,Social Media Marketing,"₹ 10,000 /month",Delhi
Pereyan LLP,Supply Chain Management (SCM),"₹ 12,000-15,000 /month",Bangalore
Megabits Advertisements,Marketing,₹ 700 /week,Work From Home
Cure And Care Wellness Private Limited,Inside Sales,"₹ 12,000-15,000 /month",Work From Home
Sarga Additive Manufacturing Private Limited,Robotics,"₹ 5,000-15,000 /month",Pilani
LH2 Holdings,Investment Banking,"₹ 10,000 /month",Work From Home
Ekatva Foundation,Fundraising,"₹ 600-3,000 lump sum",Work From Home
HappiMynd,Social Work,"₹ 1,000-2,000 lump sum",Work From Home
Vivusoft Technologies,Business Development (Sales),"₹ 2,500 /month +  Incentives",Work From Home
Roslin Institute Of Concepts (OPC) Private Limited,Content Writing,"₹ 1,000-3,000 /month",Work From Home
Girl Power Talk,Search Engine Optimization (SEO),"₹ 5,000-10,000 /month",Mohali
Bollygrad Studioz,Text Animation,"₹ 7,000-12,000 /month",Work From Home
HappiMynd,Social Psychology,"₹ 1,000-2,000 /month",Work From Home
Pereyan LLP,Business Development (Sales),"₹ 12,000-15,000 /month",Bangalore
Saregama India Limited,YouTube Marketing,"₹ 5,000-10,000 /month",Chennai
All Things Law,Social Media Management,₹ 300 /week +  Incentives,Work From Home
HappiMynd,Lead Generation,"₹ 1,000-2,000 lump sum",Work From Home
Pregrad,Influencer Marketing,"₹ 1,000 /month +  Incentives",Work From Home
My FNO School,Finance,"₹ 4,000-10,000 /month",Work From Home
Kennect,Sales Development - Saas,"₹ 10,000-15,000 /month",Work From Home
B B Advisory,Finance,"₹ 2,000-8,000 /month",Work From Home
HappiMynd,Operations,"₹ 1,000-2,000 /month",Work From Home
Megabits Advertisements,Social Media Marketing,₹ 700 /week,Work From Home
Hex Wireless Private Limited,Lead Generation,"₹ 10,000 /month",Work From Home
HappiMynd,Program Management,"₹ 2,000-3,000 /month",Work From Home
"AIMS Training Center (Abu Dhabi, United Arab Emirates)",Social Media Marketing,"₹ 5,000 /month",Work From Home
Thomas Cook,Human Resources (HR),"₹ 2,500 /month",Mumbai
NayePankh Foundation,Fundraising,20% of Total Amount Raised,Work From Home
HappiMynd,Social Work Operations,"₹ 1,000-2,000 /month",Work From Home
